?     1	(("n'", 'est'), ['ce', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_00908', '2', '3'), ('fr-ud-train_00995', '2', '3'), ('fr-ud-train_01334', '5', '6'), ('fr-ud-train_02558', '2', '3'), ('fr-ud-train_02887', '18', '19'), ('fr-ud-train_03316', '2', '3'), ('fr-ud-train_03548', '26', '27'), ('fr-ud-train_04546', '48', '49'), ('fr-ud-train_04650', '2', '3'), ('fr-ud-train_05611', '31', '32'), ('fr-ud-train_05790', '6', '7'), ('fr-ud-train_06701', '2', '3'), ('fr-ud-train_07709', '23', '24'), ('fr-ud-train_08048', '3', '4'), ('fr-ud-train_09857', '2', '3'), ('fr-ud-train_10945', '2', '3'), ('fr-ud-train_11021', '2', '3'), ('fr-ud-train_11774', '2', '3'), ('fr-ud-train_12360', '2', '3'), ('fr-ud-train_12577', '25', '26'), ('fr-ud-train_12870', '15', '16'), ('fr-ud-train_13067', '3', '4'), ('fr-ud-train_13716', '3', '4')], 'advmod - R': [('fr-ud-train_11770', 3, 4)]}
?     2	(("n'", 'est'), ['qui', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_03860', '6', '7'), ('fr-ud-train_05886', '14', '15'), ('fr-ud-train_07167', '22', '23'), ('fr-ud-train_07340', '12', '13'), ('fr-ud-train_09456', '56', '57'), ('fr-ud-train_11482', '10', '11'), ('fr-ud-train_12485', '27', '28')], 'advmod - R': [('fr-ud-train_12536', 16, 17)]}
?     3	(('est', 'plus'), ["n'", 0, 0, 'en'])	{'NIL': [('fr-ud-train_00619', '3', '4')], 'advmod - L': [('fr-ud-train_00003', 16, 17)]}
+     4	(("l'", 'information'), ['de', 0, 0, 'et'])	{'NIL': [('fr-ud-train_14312', '6', '7')], 'det - R': [('fr-ud-train_01030', 43, 44), ('fr-ud-train_03171', 10, 11), ('fr-ud-train_10164', 19, 20), ('fr-ud-train_14360', 48, 49)]}
+     5	(('à', 'cours'), ["qu'", 'le', 0, 'de'])	{'fixed - L': [('fr-ud-train_05928', 19, 21)], 'case - R': [('fr-ud-train_01862', 4, 6), ('fr-ud-train_11174', 14, 16)]}
+     6	(('le', 'cours'), ['à', 0, 0, 'de'])	{'NIL': [('fr-ud-train_05928', '20', '21')], 'det - R': [('fr-ud-train_00019', 3, 4), ('fr-ud-train_00299', 51, 52), ('fr-ud-train_00458', 2, 3), ('fr-ud-train_00896', 31, 32), ('fr-ud-train_00903', 12, 13), ('fr-ud-train_01270', 10, 11), ('fr-ud-train_01579', 21, 22), ('fr-ud-train_01862', 5, 6), ('fr-ud-train_01947', 16, 17), ('fr-ud-train_02024', 9, 10), ('fr-ud-train_02217', 16, 17), ('fr-ud-train_02464', 25, 26), ('fr-ud-train_02846', 2, 3), ('fr-ud-train_02931', 5, 6), ('fr-ud-train_02977', 22, 23), ('fr-ud-train_03233', 15, 16), ('fr-ud-train_03256', 25, 26), ('fr-ud-train_03544', 16, 17), ('fr-ud-train_03869', 2, 3), ('fr-ud-train_04142', 2, 3), ('fr-ud-train_04142', 20, 21), ('fr-ud-train_04195', 8, 9), ('fr-ud-train_04509', 11, 12), ('fr-ud-train_04617', 12, 13), ('fr-ud-train_04802', 6, 7), ('fr-ud-train_05041', 6, 7), ('fr-ud-train_05160', 12, 13), ('fr-ud-train_05171', 8, 9), ('fr-ud-train_05296', 22, 23), ('fr-ud-train_05336', 2, 3), ('fr-ud-train_05425', 9, 10), ('fr-ud-train_05691', 10, 11), ('fr-ud-train_06019', 15, 16), ('fr-ud-train_06370', 34, 35), ('fr-ud-train_06880', 10, 11), ('fr-ud-train_06948', 2, 3), ('fr-ud-train_07117', 36, 37), ('fr-ud-train_07182', 7, 8), ('fr-ud-train_07501', 15, 16), ('fr-ud-train_07789', 2, 3), ('fr-ud-train_07870', 15, 16), ('fr-ud-train_08131', 6, 7), ('fr-ud-train_08266', 15, 16), ('fr-ud-train_08266', 25, 26), ('fr-ud-train_08436', 53, 54), ('fr-ud-train_08891', 2, 3), ('fr-ud-train_08958', 2, 3), ('fr-ud-train_08999', 2, 3), ('fr-ud-train_09297', 45, 46), ('fr-ud-train_10040', 8, 9), ('fr-ud-train_10140', 15, 16), ('fr-ud-train_10455', 20, 21), ('fr-ud-train_10511', 17, 18), ('fr-ud-train_10852', 27, 28), ('fr-ud-train_11174', 15, 16), ('fr-ud-train_11194', 2, 3), ('fr-ud-train_11359', 24, 25), ('fr-ud-train_11408', 2, 3), ('fr-ud-train_11652', 20, 21), ('fr-ud-train_11793', 51, 52), ('fr-ud-train_12077', 18, 19), ('fr-ud-train_12194', 37, 38), ('fr-ud-train_12461', 10, 11), ('fr-ud-train_12616', 19, 20), ('fr-ud-train_12959', 2, 3), ('fr-ud-train_13091', 5, 6), ('fr-ud-train_13238', 5, 6), ('fr-ud-train_13302', 5, 6), ('fr-ud-train_13320', 11, 12), ('fr-ud-train_13602', 37, 38), ('fr-ud-train_13909', 7, 8), ('fr-ud-train_13942', 2, 3), ('fr-ud-train_14321', 2, 3), ('fr-ud-train_14379', 5, 6), ('fr-ud-train_14492', 12, 13), ('fr-ud-train_14542', 13, 14)]}
-     7	(("n'", 'ont'), ['ils', 0, 0, 'pas'])	{'NIL': [('fr-ud-train_04022', '9', '10'), ('fr-ud-train_04022', '19', '20'), ('fr-ud-train_11351', '44', '45')], 'advmod - R': [('fr-ud-train_14042', 2, 3)]}
-     8	(('ont', 'pas'), ["n'", 0, 0, 'encore'])	{'NIL': [('fr-ud-train_09591', '4', '5')], 'advmod - L': [('fr-ud-train_00022', 24, 25)]}
+     9	(("l'", 'eau'), ['de', 0, 0, '.'])	{'NIL': [('fr-ud-train_00071', '48', '49'), ('fr-ud-train_02044', '30', '31')], 'det - R': [('fr-ud-train_12769', 24, 25)]}
+    10	(("l'", 'eau'), ['de', 0, 0, 'et'])	{'NIL': [('fr-ud-train_09965', '28', '29')], 'det - R': [('fr-ud-train_11519', 16, 17)]}
+    11	(("s'", 'étend'), ['elle', 0, 0, 'sur'])	{'expl:pass - R': [('fr-ud-train_09171', 19, 20)], 'dep:comp - R': [('fr-ud-train_00025', 2, 3)]}
+    12	(("s'", 'étend'), ['il', 0, 0, 'sur'])	{'expl:pass - R': [('fr-ud-train_11224', 2, 3), ('fr-ud-train_12383', 2, 3)], 'dep:comp - R': [('fr-ud-train_07659', 2, 3)]}
?    13	(('à', 'le'), [',', 0, 0, 'plus'])	{'NIL': [('fr-ud-train_01283', '21', '22'), ('fr-ud-train_07116', '28', '29')], 'fixed - L': [('fr-ud-train_14504', 15, 16)]}
-    14	(('à', 'le'), [',', 0, 0, 'lieu'])	{'NIL': [('fr-ud-train_01495', '32', '33')], 'fixed - L': [('fr-ud-train_03380', 10, 11), ('fr-ud-train_10735', 27, 28)]}
+    15	(('à', 'le'), ["qu'", 0, 0, 'cours'])	{'NIL': [('fr-ud-train_01862', '4', '5'), ('fr-ud-train_11174', '14', '15')], 'fixed - L': [('fr-ud-train_05928', 19, 20)]}
-    16	(('centre', 'alignés'), ['le', 'de', 'quatre', 'sur'])	{'NIL': [('fr-ud-train_00058', '24', '44'), ('fr-ud-train_00058', '33', '44')], 'nsubj - R': [('fr-ud-train_00058', 14, 44)]}
+    17	(('habitants', 'appelés'), ['ses', 'sont', 0, 'les'])	{'nsubj - R': [('fr-ud-train_03265', 2, 4)], 'nsubj:pass - R': [('fr-ud-train_00060', 2, 4), ('fr-ud-train_03081', 2, 4), ('fr-ud-train_03825', 2, 4), ('fr-ud-train_09903', 2, 4), ('fr-ud-train_12593', 2, 4)]}
+    18	(('sont', 'appelés'), ['habitants', 0, 0, 'les'])	{'aux:tense - R': [('fr-ud-train_03265', 3, 4)], 'aux:pass - R': [('fr-ud-train_00060', 3, 4), ('fr-ud-train_03081', 3, 4), ('fr-ud-train_03825', 3, 4), ('fr-ud-train_09903', 3, 4), ('fr-ud-train_12593', 3, 4)]}
-    19	(('droits', 'sahara'), ['les', 'de', 'le', 'occidental'])	{'NIL': [('fr-ud-train_02414', '49', '61')], 'nmod - L': [('fr-ud-train_00066', 52, 58)]}
+    20	(('sahara', 'occidental'), ['le', 0, 0, 'a'])	{'amod - L': [('fr-ud-train_10680', 6, 7), ('fr-ud-train_12551', 5, 6)], 'flat:name - L': [('fr-ud-train_04795', 31, 32)]}
    21	(('sahara', 'occidental'), ['le', 0, 0, '.'])	{'flat:name - L': [('fr-ud-train_13504', 35, 36)], 'amod - L': [('fr-ud-train_00066', 58, 59), ('fr-ud-train_02296', 30, 31), ('fr-ud-train_02339', 14, 15), ('fr-ud-train_02414', 61, 62), ('fr-ud-train_02874', 43, 44), ('fr-ud-train_03033', 11, 12), ('fr-ud-train_04504', 29, 30), ('fr-ud-train_05496', 42, 43), ('fr-ud-train_07127', 35, 36), ('fr-ud-train_10558', 30, 31), ('fr-ud-train_12049', 46, 47)]}
    22	(('le', 'milieu'), ['à', 0, 0, 'de'])	{'NIL': [('fr-ud-train_08907', '15', '16')], 'det - R': [('fr-ud-train_00071', 22, 23), ('fr-ud-train_00483', 32, 33), ('fr-ud-train_02453', 15, 16), ('fr-ud-train_02666', 9, 10), ('fr-ud-train_03954', 8, 9), ('fr-ud-train_04909', 38, 39), ('fr-ud-train_05985', 6, 7), ('fr-ud-train_06355', 21, 22), ('fr-ud-train_07344', 7, 8), ('fr-ud-train_07607', 11, 12), ('fr-ud-train_07674', 2, 3), ('fr-ud-train_08148', 31, 32), ('fr-ud-train_08738', 40, 41), ('fr-ud-train_09573', 9, 10), ('fr-ud-train_12717', 18, 19), ('fr-ud-train_13201', 33, 34), ('fr-ud-train_13650', 37, 38), ('fr-ud-train_14068', 22, 23), ('fr-ud-train_14450', 18, 19)]}
    23	(('de', "l'"), ['et', 0, 0, 'argent'])	{'NIL': [('fr-ud-train_13213', '9', '10')], 'fixed - L': [('fr-ud-train_08756', 45, 46)]}
    24	(('à', 'titre'), [',', 0, 0, "d'"])	{'fixed - L': [('fr-ud-train_05729', 4, 5)], 'case - R': [('fr-ud-train_04112', 13, 14), ('fr-ud-train_08236', 27, 28)]}
    25	(('à', 'siècle'), [0, 'le', 'xviiie', ','])	{'NIL': [('fr-ud-train_04187', '1', '7')], 'case - R': [('fr-ud-train_02500', 1, 4)]}
    26	(('tous', 'ans'), [',', 'les', 'dix', ','])	{'NIL': [('fr-ud-train_02938', '6', '30')], 'amod - R': [('fr-ud-train_02938', 27, 30)]}
